Character,Transcriptions,Fanqie,Sixtuples,Identifiers
狟,hwan,胡官,山合一平桓匣,522
峘,hwan;hong,胡官;胡登,山合一平桓匣;曾開一平登匣,522;982
㿪,hwan,胡官,山合一平桓匣,522
垸,hwan;hwanH,胡官;胡玩,山合一平桓匣;山合一去桓匣,522;2647
寏,hwan,胡官,山合一平桓匣,522
院,hwan;hjwenH,胡官;王眷,山合一平桓匣;山合三去仙云,522;2719
捖,hwan,胡官,山合一平桓匣,522
岏,ngwan,五丸,山合一平桓疑,523
刓,ngwan,五丸,山合一平桓疑,523
园,ngwan,五丸,山合一平桓疑,523
忨,ngwan;ngwanH,五丸;五換,山合一平桓疑;山合一去桓疑,523;2652
䯈,ngwan,五丸,山合一平桓疑,523
抏,ngwan,五丸,山合一平桓疑,523
𠒢,ngwan,五丸,山合一平桓疑,523
端,twan,多官,山合一平桓端,524
褍,twan;twaX,多官;丁果,山合一平桓端;果合一上戈端,524;1746
剬,twan;tsywenX,多官;旨兖,山合一平桓端;山合三上仙章,524;1651
𧤗,twan,多官,山合一平桓端,524
耑,twan,多官,山合一平桓端,524
鍴,twan,多官,山合一平桓端,524
𥵣,twan,多官,山合一平桓端,524
竱,twan;tsywenX,多官;旨兖,山合一平桓端;山合三上仙章,524;1651
𦾸,twan,多官,山合一平桓端,524
𥠄,twan;twaX,多官;丁果,山合一平桓端;果合一上戈端,524;1746
偳,twan;thwan,多官;他端,山合一平桓端;山合一平桓透,524;526
剜,'wan,一丸,山合一平桓影,525
豌,'wan,一丸,山合一平桓影,525
帵,'wan,一丸,山合一平桓影,525
婠,'wan;kwanH;'weat,一丸;古玩;烏八,山合一平桓影;山合一去桓見;山合二入山影,525;2650;3430
湍,thwan;tsywen,他端;職緣,山合一平桓透;山合三平仙章,526;630
貒,thwan;thwanH,他端;通貫,山合一平桓透;山合一去桓透,526;2656
䵎,thwan,他端,山合一平桓透,526
煓,thwan,他端,山合一平桓透,526
酸,swan,素官,山合一平桓心,527
狻,swan,素官,山合一平桓心,527
䝜,swan,素官,山合一平桓心,527
痠,swan,素官,山合一平桓心,527
𩆑,swan,素官,山合一平桓心,527
團,dwan,度官,山合一平桓定,528
慱,dwan,度官,山合一平桓定,528
篿,dwan;tsywen,度官;職緣,山合一平桓定;山合三平仙章,528;630
剸,dwan;tsywen;tsywenX;tsywenH,度官;職緣;旨兖;之囀,山合一平桓定;山合三平仙章;山合三上仙章;山合三去仙章,528;630;1651;2753
鄟,dwan;tsywen;dzywenX,度官;職緣;市兖,山合一平桓定;山合三平仙章;山合三上仙常,528;630;1649
𧐕,dwan,度官,山合一平桓定,528
漙,dwan,度官,山合一平桓定,528
鷒,dwan;tsywen,度官;職緣,山合一平桓定;山合三平仙章,528;630
𪆃,dwan,度官,山合一平桓定,528
摶,dwan;tsywen;drjwenX,度官;職緣;持兖,山合一平桓定;山合三平仙章;山合三上仙澄,528;630;1650
𩅂,dwan,度官,山合一平桓定,528
櫕,dzwan,在丸,山合一平桓從,529
巑,dzwan,在丸,山合一平桓從,529
𩎈,dzwan;tswan,在丸;借官,山合一平桓從;山合一平桓精,529;534
菆,dzwan;tsrjuw;tsrhjuH,在丸;側鳩;芻注,山合一平桓從;流開三平尤莊;遇合三去虞初,529;1008;2338
襸,dzwan;tsanH,在丸;則旰,山合一平桓從;山開一去寒精,529;2645
酇,dzwan,在丸,山合一平桓從,529
穳,dzwan;dzanH,在丸;徂賛,山合一平桓從;山開一去寒從,529;2646
𥣚,dzwan,在丸,山合一平桓從,529
劗,dzwan;tswan,在丸;借官,山合一平桓從;山合一平桓精,529;534
躦,dzwan;dza,在丸;昨何,山合一平桓從;果開一平歌從,529;730
官,kwan,古丸,山合一平桓見,530
悹,kwan;kwanX;kwanH,古丸;古滿;古玩,山合一平桓見;山合一上桓見;山合一去桓見,530;1566;2650
棺,kwan;kwanH,古丸;古玩,山合一平桓見;山合一去桓見,530;2650
觀,kwan;kwanH,古丸;古玩,山合一平桓見;山合一去桓見,530;2650
貫,kwan;kwanH,古丸;古玩,山合一平桓見;山合一去桓見,530;2650
冠,kwan;kwanH,古丸;古玩,山合一平桓見;山合一去桓見,530;2650
涫,kwan;kwanH,古丸;古玩,山合一平桓見;山合一去桓見,530;2650
倌,kwan;kwaenH,古丸;古患,山合一平桓見;山合二去刪見,530;2674
母,kwan;muwX,古丸;莫厚,山合一平桓見;流開一上侯明,530;1956
毌,kwan;kwanH,古丸;古玩,山合一平桓見;山合一去桓見,530;2650
鑾,lwan,落官,山合一平桓來,531
鸞,lwan,落官,山合一平桓來,531
巒,lwan,落官,山合一平桓來,531
欒,lwan,落官,山合一平桓來,531
羉,lwan,落官,山合一平桓來,531
𧄶,lwan,落官,山合一平桓來,531
,lwan;ljwen;ljwenH,落官;呂員;力卷,山合一平桓來;山合三平仙來;山合三去仙來,531;640;2731
㱍,lwan,落官,山合一平桓來,531
臠,lwan;ljwenX,落官;力兖,山合一平桓來;山合三上仙來,531;1643
灤,lwan,落官,山合一平桓來,531
灓,lwan;lwanH;ljwenH,落官;郎段;力卷,山合一平桓來;山合一去桓來;山合三去仙來,531;2654;2731
𤼙,lwan;ljwen,落官;呂員,山合一平桓來;山合三平仙來,531;640
圞,lwan,落官,山合一平桓來,531
曫,lwan,落官,山合一平桓來,531
歡,xwan,呼官,山合一平桓曉,532
懽,xwan;kwanH,呼官;古玩,山合一平桓曉;山合一去桓見,532;2650
驩,xwan,呼官,山合一平桓曉,532
貛,xwan,呼官,山合一平桓曉,532
𪈩,xwan,呼官,山合一平桓曉,532
鴅,xwan,呼官,山合一平桓曉,532
酄,xwan,呼官,山合一平桓曉,532
獾,xwan,呼官,山合一平桓曉,532
犿,xwan,呼官,山合一平桓曉,532
𡚊,xwan,呼官,山合一平桓曉,532
𠂄,xwan,呼官,山合一平桓曉,532
寬,khwan,苦官,山合一平桓溪,533
鑚,tswan;tswanH,借官;子筭,山合一平桓精;山合一去桓精,534;2648
𩎑,tswan,借官,山合一平桓精,534
䡽,tswan,借官,山合一平桓精,534
𣀶,tswan,借官,山合一平桓精,534
盤,ban,薄官,山合一平桓並,535
槃,ban,薄官,山合一平桓並,535
鎜,ban,薄官,山合一平桓並,535
柈,ban,薄官,山合一平桓並,535
瘢,ban,薄官,山合一平桓並,535
磻,ban,薄官,山合一平桓並,535
幋,ban,薄官,山合一平桓並,535
磐,ban,薄官,山合一平桓並,535
䰉,ban;paen,薄官;布還,山合一平桓並;山開二平刪幫,535;544
般,ban;pan;paen,薄官;北潘;布還,山合一平桓並;山合一平桓幫;山開二平刪幫,535;538;544
蹣,ban;man,薄官;母官,山合一平桓並;山合一平桓明,535;536
搫,ban;ba,薄官;薄波,山合一平桓並;果合一平戈並,535;743
鞶,ban,薄官,山合一平桓並,535
𪄀,ban,薄官,山合一平桓並,535
𥈼,ban,薄官,山合一平桓並,535
媻,ban;ba,薄官;薄波,山合一平桓並;果合一平戈並,535;743
縏,ban,薄官,山合一平桓並,535
𪒀,ban,薄官,山合一平桓並,535
䈲,ban;pan,薄官;北潘,山合一平桓並;山合一平桓幫,535;538
𤠍,ban,薄官,山合一平桓並,535
瞞,man,母官,山合一平桓明,536
顢,man,母官,山合一平桓明,536
謾,man;maen;mjien;manH;maenH,母官;莫還;武延;莫半;謨晏,山合一平桓明;山開二平刪明;山開三平仙明;山合一去桓明;山開二去刪明,536;545;616;2659;2671
䊡,man,母官,山合一平桓明,536
饅,man,母官,山合一平桓明,536
慲,man,母官,山合一平桓明,536
鏝,man;manH,母官;莫半,山合一平桓明;山合一去桓明,536;2659
槾,man,母官,山合一平桓明,536
墁,man;manH,母官;莫半,山合一平桓明;山合一去桓明,536;2659
㒼,man,母官,山合一平桓明,536
鞔,man,母官,山合一平桓明,536
鰻,man;mjonH,母官;無販,山合一平桓明;山合三去元明,536;2597
曼,man;mjonH,母官;無販,山合一平桓明;山合三去元明,536;2597
蔓,man;mjonH,母官;無販,山合一平桓明;山合三去元明,536;2597
䜱,man,母官,山合一平桓明,536
𤡁,man,母官,山合一平桓明,536
𦔔,man;manH,母官;莫半,山合一平桓明;山合一去桓明,536;2659
芇,man;mjien;menX,母官;武延;彌殄,山合一平桓明;山開三平仙明;山開四上先明,536;616;1610
悗,man,母官,山合一平桓明,536
鬗,man;mjonH,母官;無販,山合一平桓明;山合三去元明,536;2597
絻,man;mjenX;mjunH,母官;亡辨;亡運,山合一平桓明;山開三上仙明;臻合三去文明,536;1657;2579
潘,phan,普官,山合一平桓滂,537
㽃,phan,普官,山合一平桓滂,537
拌,phan;banX,普官;蒲旱,山合一平桓滂;山合一上桓並,537;1571
㢖,phan,普官,山合一平桓滂,537
𤺏,phan,普官,山合一平桓滂,537
𤳖,pan,北潘,山合一平桓幫,538
搬,pan,北潘,山合一平桓幫,538
𠦒,pan;pjit,北潘;卑吉,山合一平桓幫;臻開三入眞幫,538;3304
刪,sraen,所姦,山開二平刪生,539
訕,sraen;sraenH,所姦;所晏,山開二平刪生;山開二去刪生,539;2669
潸,sraen;sraenX,所姦;數板,山開二平刪生;山開二上刪生,539;1578
𣧱,sraen,所姦,山開二平刪生,539
狦,sraen;sraenH,所姦;所晏,山開二平刪生;山開二去刪生,539;2669
關,kwaen,古還,山合二平刪見,540
関,kwaen,古還,山合二平刪見,540
癏,kwaen,古還,山合二平刪見,540
擐,kwaen;hwaenH,古還;胡慣,山合二平刪見;山合二去刪匣,540;2673
𠴨,kwaen,古還,山合二平刪見,540
𢇇,kwaen,古還,山合二平刪見,540
彎,'waen,烏關,山合二平刪影,541
灣,'waen,烏關,山合二平刪影,541
䘎,'waen,烏關,山合二平刪影,541
𩅦,'waen,烏關,山合二平刪影,541
潫,'waen;'jwien;'jwen,烏關;於緣;於權,山合二平刪影;山合三平仙影;山合三平仙影,541;625;644
𣠯,srwaen,數還,山合二平刪生,542
閂,srwaen,數還,山合二平刪生,542
還,hwaen;zjwen,戸關;似宣,山合二平刪匣;山合三平仙邪,543;624
環,hwaen,戸關,山合二平刪匣,543
𠟼,hwaen,戸關,山合二平刪匣,543
鬟,hwaen,戸關,山合二平刪匣,543
寰,hwaen;hwenH,戸關;黃練,山合二平刪匣;山合四去先匣,543;2695
闤,hwaen,戸關,山合二平刪匣,543
糫,hwaen,戸關,山合二平刪匣,543
鍰,hwaen,戸關,山合二平刪匣,543
圜,hwaen;hjwen,戸關;王權,山合二平刪匣;山合三平仙云,543;632
鐶,hwaen,戸關,山合二平刪匣,543
轘,hwaen;hwaenH,戸關;胡慣,山合二平刪匣;山合二去刪匣,543;2673
𡍦,hwaen,戸關,山合二平刪匣,543
䍺,hwaen;hwaenH,戸關;胡慣,山合二平刪匣;山合二去刪匣,543;2673
𦏖,hwaen,戸關,山合二平刪匣,543
澴,hwaen,戸關,山合二平刪匣,543
𩙽,hwaen,戸關,山合二平刪匣,543
䭴,hwaen;hwenX,戸關;胡畎,山合二平刪匣;山合四上先匣,543;1613
㡲,hwaen,戸關,山合二平刪匣,543
𦣴,hwaen,戸關,山合二平刪匣,543
班,paen,布還,山開二平刪幫,544
螌,paen,布還,山開二平刪幫,544
斑,paen,布還,山開二平刪幫,544
癍,paen,布還,山開二平刪幫,544
辬,paen,布還,山開二平刪幫,544
斒,paen;pean,布還;方閑,山開二平刪幫;山開二平山幫,544;563
鯿,paen;pjien,布還;卑連,山開二平刪幫;山開三平仙幫,544;627
扳,paen;phaen,布還;普班,山開二平刪幫;山開二平刪滂,544;548
𠔯,paen,布還,山開二平刪幫,544
蠻,maen,莫還,山開二平刪明,545
𪈮,maen,莫還,山開二平刪明,545
獌,maen;mjonH;manH,莫還;無販;莫半,山開二平刪明;山合三去元明;山合一去桓明,545;2597;2659
鬘,maen,莫還,山開二平刪明,545
䅼,maen,莫還,山開二平刪明,545
𪑪,maen,莫還,山開二平刪明,545
顏,ngaen,五姦,山開二平刪疑,546
顔,ngaen,五姦,山開二平刪疑,546
楌,ngaen,五姦,山開二平刪疑,546
姦,kaen,古顔,山開二平刪見,547
菅,kaen,古顔,山開二平刪見,547
葌,kaen,古顔,山開二平刪見,547
䔵,kaen,古顔,山開二平刪見,547
攀,phaen,普班,山開二平刪滂,548
眅,phaen;phaenX,普班;普板,山開二平刪滂;山開二上刪滂,548;1590
奻,nrwaen;nrwaenH,奴還;女患,山合二平刪娘;山合二去刪娘,549;2680
頑,ngwaen,五還,山合二平刪疑,550
馯,khaen;hanH,丘姦;侯旰,山開二平刪溪;山開一去寒匣,551;2632
鬜,khaen,可顔,山開二平刪溪,552
山,srean,所閒,山開二平山生,554
疝,srean;sraenH,所閒;所晏,山開二平山生;山開二去刪生,554;2669
邖,srean,所閒,山開二平山生,554
鰥,kwean;kweanH,古頑;古幻,山合二平山見;山合二去山見,555;2691
䤽,kwean,古頑,山合二平山見,555
間,kean;keanH,古閑;古莧,山開二平山見;山開二去山見,556;2683
閒,kean;hean,古閑;戸閒,山開二平山見;山開二平山匣,556;557
艱,kean,古閑,山開二平山見,556
囏,kean,古閑,山開二平山見,556
蕑,kean,古閑,山開二平山見,556
覸,kean;pjenX;keanH,古閑;方免;古莧,山開二平山見;山開三上仙幫;山開二去山見,556;1641;2683
閑,hean,戸閒,山開二平山匣,557
嫺,hean,戸閒,山開二平山匣,557
嫻,hean,戸閒,山開二平山匣,557
癇,hean,戸閒,山開二平山匣,557
𩦂,hean,戸閒,山開二平山匣,557
蛝,hean,戸閒,山開二平山匣,557
瞯,hean,戸閒,山開二平山匣,557
𥊺,hean,戸閒,山開二平山匣,557
鷴,hean,戸閒,山開二平山匣,557
鷳,hean,戸閒,山開二平山匣,557
藖,hean;heanH,戸閒;侯襇,山開二平山匣;山開二去山匣,557;2684
憪,hean;haenX,戸閒;下赧,山開二平山匣;山開二上刪匣,557;1583
慳,khean,苦閑,山開二平山溪,558
𧢞,khean,苦閑,山開二平山溪,558
顅,khean,苦閑,山開二平山溪,558
掔,khean;khen,苦閑;苦堅,山開二平山溪;山開四平先溪,558;587
鬝,khean;kheat,苦閑;恪八,山開二平山溪;山開二入山溪,558;3426
羥,khean;kheang,苦閑;口莖,山開二平山溪;梗開二平耕溪,558;890
𩋆,khean,苦閑,山開二平山溪,558
虥,dzrean;dzean;dzreanX;dzraenH,士山;昨閑;士限;士諫,山開二平山崇;山開二平山從;山開二上山崇;山開二去刪崇,559;574;1597;2678
潺,dzrean;dzrjen,士山;士連,山開二平山崇;山開三平仙崇,559;607
孱,dzrean;dzrjen;dzreanX,士山;士連;士限,山開二平山崇;山開三平仙崇;山開二上山崇,559;607;1597
僝,dzrean;dzrjwenH,士山;士戀,山開二平山崇;山合三去仙崇,559;2739
䡲,dzrean;dzrjen,士山;士連,山開二平山崇;山開三平仙崇,559;607
𡎻,dzrean;dzean;dzrjen,士山;昨閑;士連,山開二平山崇;山開二平山從;山開三平仙崇,559;574;607
羴,xean,許閒,山開二平山曉,560
詽,ngean;then,五閑;他前,山開二平山疑;山開四平先透,561;579
𤡥,ngean;haenX,五閑;下赧,山開二平山疑;山開二上刪匣,561;1583
㗴,ngean,五閑,山開二平山疑,561
虤,ngean,五閑,山開二平山疑,561
黰,'ean;tsyinX,烏閑;章忍,山開二平山影;臻開三上眞章,562;1466
㸶,'ean,烏閑,山開二平山影,562
黫,'ean,烏閑,山開二平山影,562
斕,lean,力閑,山開二平山來,564
𢿻,lean,力閑,山開二平山來,564
𢛓,lean,力閑,山開二平山來,564
嘫,nrean,女閑,山開二平山娘,565
㬮,nrean;nanH,女閑;奴案,山開二平山娘;山開一去寒泥,565;2642
㺗,tsyhean,充山,山開二平山昌,566
嬽,hjwean;'jwen,委鰥;於權,山合二平山云;山合三平仙影,567;644
𡰝,gwean;trjwen,跪頑;丁全,山合二平山群;山合三平仙知,570;646
㣶,trean,陟山,山開二平山知,571
湲,hwean;hjwen,獲頑;王權,山合二平山匣;山合三平仙云,573;632
先,sen;senH,蘇前;蘇佃,山開四平先心;山開四去先心,575;2692
躚,sen;sjen,蘇前;相然,山開四平先心;山開三平仙心,575;598
蹮,sen,蘇前,山開四平先心,575
𥑻,sen,蘇前,山開四平先心,575
前,dzen,昨先,山開四平先從,576
歬,dzen,昨先,山開四平先從,576
騚,dzen,昨先,山開四平先從,576
湔,dzen;tsen;tsjen;tsjenH,昨先;則前;子仙;子賤,山開四平先從;山開四平先精;山開三平仙精;山開三去仙精,576;578;601;2725
𥮒,dzen;dzjem,昨先;昨鹽,山開四平先從;咸開三平鹽從,576;1117
𥮓,dzen,昨先,山開四平先從,576
千,tshen,蒼先,山開四平先清,577
圱,tshen,蒼先,山開四平先清,577
阡,tshen,蒼先,山開四平先清,577
汘,tshen,蒼先,山開四平先清,577
仟,tshen,蒼先,山開四平先清,577
芊,tshen;tshenH,蒼先;倉甸,山開四平先清;山開四去先清,577;2693
谸,tshen,蒼先,山開四平先清,577
迁,tshen,蒼先,山開四平先清,577
杄,tshen,蒼先,山開四平先清,577
箋,tsen,則前,山開四平先精,578
牋,tsen,則前,山開四平先精,578
㮍,tsen,則前,山開四平先精,578
瀳,tsen;dzenH,則前;在甸,山開四平先精;山開四去先從,578;2709
韉,tsen,則前,山開四平先精,578
淺,tsen;tshjenX,則前;七演,山開四平先精;山開三上仙清,578;1625
𢃬,tsen,則前,山開四平先精,578
𣚙,tsen,則前,山開四平先精,578
濺,tsen;tsjenH,則前;子賤,山開四平先精;山開三去仙精,578;2725
籛,tsen;tsjenX;tsjenH,則前;即淺;子賤,山開四平先精;山開三上仙精;山開三去仙精,578;1630;2725
𣝕,tsen,則前,山開四平先精,578
𨕨,tsen,則前,山開四平先精,578
天,then,他前,山開四平先透,579
𠀘,then,他前,山開四平先透,579
䒶,then,他前,山開四平先透,579
𦧝,then,他前,山開四平先透,579
堅,ken,古賢,山開四平先見,580
鑒,ken;kaemH,古賢;格懺,山開四平先見;咸開二去銜見,580;3167
𢮂,ken;hen,古賢;胡田,山開四平先見;山開四平先匣,580;581
㡉,ken,古賢,山開四平先見,580
幵,ken,古賢,山開四平先見,580
肩,ken,古賢,山開四平先見,580
鳽,ken;ngen;ngeak,古賢;五堅;五革,山開四平先見;山開四平先疑;梗開二入耕疑,580;588;3641
豜,ken;ngenH,古賢;吾甸,山開四平先見;山開四去先疑,580;2704
豣,ken,古賢,山開四平先見,580
𧱚,ken,古賢,山開四平先見,580
猏,ken,古賢,山開四平先見,580
菺,ken,古賢,山開四平先見,580
𪊑,ken;khen;khengH,古賢;苦堅;苦定,山開四平先見;山開四平先溪;梗開四去青溪,580;587;2997
麉,ken,古賢,山開四平先見,580
鵳,ken,古賢,山開四平先見,580
鰹,ken,古賢,山開四平先見,580
䶬,ken;ngjet,古賢;魚列,山開四平先見;山開三入仙疑,580;3497
䌑,ken,古賢,山開四平先見,580
賢,hen,胡田,山開四平先匣,581
弦,hen,胡田,山開四平先匣,581
絃,hen;xwenH,胡田;許縣,山開四平先匣;山合四去先曉,581;2694
舷,hen,胡田,山開四平先匣,581
胘,hen;hwen,胡田;胡涓,山開四平先匣;山合四平先匣,581;595
蚿,hen,胡田,山開四平先匣,581
𢛆,hen,胡田,山開四平先匣,581
𠛑,hen,胡田,山開四平先匣,581
伭,hen,胡田,山開四平先匣,581
𦱁,hen,胡田,山開四平先匣,581
婱,hen,胡田,山開四平先匣,581
𧼏,hen,胡田,山開四平先匣,581
痃,hen,胡田,山開四平先匣,581
煙,'en,烏前,山開四平先影,582
菸,'en;'joH,烏前;依倨,山開四平先影;遇開三去魚影,582;2301
𡨾,'en,烏前,山開四平先影,582
𤎟,'en,烏前,山開四平先影,582
燕,'en;'enH,烏前;於甸,山開四平先影;山開四去先影,582;2705
咽,'en;'enH;'et,烏前;於甸;烏結,山開四平先影;山開四去先影;山開四入先影,582;2705;3482
橪,'en;nyenX,烏前;人善,山開四平先影;山開三上仙日,582;1631
驠,'en;'enH,烏前;於甸,山開四平先影;山開四去先影,582;2705
胭,'en,烏前,山開四平先影,582
𥷀,'en,烏前,山開四平先影,582
閼,'en;'jen;'jot;'at,烏前;於乾;於歇;烏葛,山開四平先影;山開三平仙影;山開三入元影;山開一入寒影,582;642;3364;3394
憐,len,落賢,山開四平先來,583
蓮,len;ljenX,落賢;力展,山開四平先來;山開三上仙來,583;1633
怜,len;leng,落賢;郎丁,山開四平先來;梗開四平青來,583;939
嗹,len,落賢,山開四平先來,583
縺,len,落賢,山開四平先來,583
𪍴,len,落賢,山開四平先來,583
𨏩,len,落賢,山開四平先來,583
零,len;leng;lengH,落賢;郎丁;郎定,山開四平先來;梗開四平青來;梗開四去青來,583;939;3002
田,den,徒年,山開四平先定,584
佃,den;denH,徒年;堂練,山開四平先定;山開四去先定,584;2697
畋,den;denH,徒年;堂練,山開四平先定;山開四去先定,584;2697
填,den;trinH;denH,徒年;陟刃;堂練,山開四平先定;臻開三去眞知;山開四去先定,584;2563;2697
窴,den;denH,徒年;堂練,山開四平先定;山開四去先定,584;2697
闐,den;denH,徒年;堂練,山開四平先定;山開四去先定,584;2697
䟧,den,徒年,山開四平先定,584
鈿,den;denH,徒年;堂練,山開四平先定;山開四去先定,584;2697
䡘,den,徒年,山開四平先定,584
沺,den,徒年,山開四平先定,584
鷏,den,徒年,山開四平先定,584
𨌈,den,徒年,山開四平先定,584
滇,den;ten;thenH,徒年;都年;他甸,山開四平先定;山開四平先端;山開四去先透,584;586;2698
搷,den,徒年,山開四平先定,584
年,nen,奴顚,山開四平先泥,585
秊,nen,奴顚,山開四平先泥,585
𨛲,nen;neng,奴顚;奴丁,山開四平先泥;梗開四平青泥,585;940
顚,ten;thenH,都年;他甸,山開四平先端;山開四去先透,586;2698
顛,ten;thenH,都年;他甸,山開四平先端;山開四去先透,586;2698
㒹,ten,都年,山開四平先端,586
齻,ten,都年,山開四平先端,586
𩥄,ten,都年,山開四平先端,586
槙,ten,都年,山開四平先端,586
瘨,ten,都年,山開四平先端,586
癲,ten,都年,山開四平先端,586
𧽍,ten;denH,都年;堂練,山開四平先端;山開四去先定,586;2697
巔,ten,都年,山開四平先端,586
𠑘,ten,都年,山開四平先端,586
傎,ten,都年,山開四平先端,586
蹎,ten,都年,山開四平先端,586
厧,ten,都年,山開四平先端,586
牽,khen;khenH,苦堅;苦甸,山開四平先溪;山開四去先溪,587;2702
縴,khen,苦堅,山開四平先溪,587
郉,khen,苦堅,山開四平先溪,587
邢,khen;heng,苦堅;戸經,山開四平先溪;梗開四平青匣,587;933
汧,khen;khenH,苦堅;苦甸,山開四平先溪;山開四去先溪,587;2702
蚈,khen,苦堅,山開四平先溪,587
岍,khen,苦堅,山開四平先溪,587
姸,ngen,五堅,山開四平先疑,588
妍,ngen,五堅,山開四平先疑,588
硏,ngen,五堅,山開四平先疑,588
研,ngen;ngenH,五堅;吾甸,山開四平先疑;山開四去先疑,588;2704
𥓋,ngen,五堅,山開四平先疑,588
揅,ngen,五堅,山開四平先疑,588
㿼,ngen,五堅,山開四平先疑,588
趼,ngen;kenX;ngenH,五堅;古典;吾甸,山開四平先疑;山開四上先見;山開四去先疑,588;1607;2704
俓,ngen;ngeang;kengH,五堅;五莖;古定,山開四平先疑;梗開二平耕疑;梗開四去青見,588;906;2991
眠,men,莫賢,山開四平先明,589
瞑,men;meng;menH,莫賢;莫經;莫甸,山開四平先明;梗開四平青明;山開四去先明,589;942;2707
䏃,men,莫賢,山開四平先明,589
矏,men;mjien,莫賢;武延,山開四平先明;山開三平仙明,589;616
𥌂,men,莫賢,山開四平先明,589
䰓,men,莫賢,山開四平先明,589
㝰,men,莫賢,山開四平先明,589
駢,ben,部田,山開四平先並,590
蹁,ben;pen,部田;布玄,山開四平先並;山開四平先幫,590;594
骿,ben,部田,山開四平先並,590
軿,ben;beng,部田;薄經,山開四平先並;梗開四平青並,590;943
㼐,ben,部田,山開四平先並,590
胼,ben,部田,山開四平先並,590
跰,ben;paengH,部田;北孟,山開四平先並;梗開二去庚幫,590;2960
楄,ben;bjien,部田;房連,山開四平先並;山開三平仙並,590;615
賆,ben,部田,山開四平先並,590
琕,ben,部田,山開四平先並,590
淵,'wen,烏玄,山合四平先影,591
𠝃,'wen,烏玄,山合四平先影,591
囦,'wen,烏玄,山合四平先影,591
㾓,'wen,烏玄,山合四平先影,591
弲,'wen;xjwien,烏玄;許緣,山合四平先影;山合三平仙曉,591;620
剈,'wen,烏玄,山合四平先影,591
𨓯,'wen,烏玄,山合四平先影,591
䨊,'wen,烏玄,山合四平先影,591
蜎,'wen;'jwien;gjwienX,烏玄;於緣;狂兖,山合四平先影;山合三平仙影;山合三上仙群,591;625;1654
涓,kwen,古玄,山合四平先見,592
睊,kwen;kwenH,古玄;古縣,山合四平先見;山合四去先見,592;2696
蠲,kwen,古玄,山合四平先見,592
𦮻,kwen,古玄,山合四平先見,592
䅌,kwen,古玄,山合四平先見,592
鵑,kwen,古玄,山合四平先見,592
焆,kwen;'wet;'jet,古玄;於決;於列,山合四平先見;山合四入先影;山開三入仙影,592;3473;3529
鞙,kwen;hwenX,古玄;胡畎,山合四平先見;山合四上先匣,592;1613
鋗,xwen,火玄,山合四平先曉,593
駽,xwen;xwenH,火玄;許縣,山合四平先曉;山合四去先曉,593;2694
㘣,xwen,火玄,山合四平先曉,593
梋,xwen,火玄,山合四平先曉,593
矎,xwen;xjwengH,火玄;休正,山合四平先曉;梗合三去清曉,593;2982
邊,pen,布玄,山開四平先幫,594
籩,pen,布玄,山開四平先幫,594
𤄺,pen,布玄,山開四平先幫,594
甂,pen,布玄,山開四平先幫,594
蝙,pen,布玄,山開四平先幫,594
猵,pen;bjinX,布玄;毗忍,山開四平先幫;臻開三上眞並,594;1476
𥣰,pen;penX,布玄;方典,山開四平先幫;山開四上先幫,594;1612
編,pen;pjien;penX,布玄;卑連;方典,山開四平先幫;山開三平仙幫;山開四上先幫,594;627;1612
萹,pen;phjien;penX,布玄;芳連;方典,山開四平先幫;山開三平仙滂;山開四上先幫,594;614;1612
𨇱,pen,布玄,山開四平先幫,594
𠑟,pen,布玄,山開四平先幫,594
牑,pen,布玄,山開四平先幫,594
䟍,pen;'jenX,布玄;於蹇,山開四平先幫;山開三上仙影,594;1661
玄,hwen,胡涓,山合四平先匣,595
縣,hwen;hwenH,胡涓;黃練,山合四平先匣;山合四去先匣,595;2695
懸,hwen,胡涓,山合四平先匣,595
眩,hwen;hwenH,胡涓;黃練,山合四平先匣;山合四去先匣,595;2695
䮄,hwen,胡涓,山合四平先匣,595
玹,hwen;hwenH,胡涓;黃練,山合四平先匣;山合四去先匣,595;2695
玆,hwen,胡涓,山合四平先匣,595
䙲,hwen,胡涓,山合四平先匣,595
𥌭,hwen;xjwien;hwenX,胡涓;許緣;胡畎,山合四平先匣;山合三平仙曉;山合四上先匣,595;620;1613
𠆺,hwen,胡涓,山合四平先匣,595
盷,hwen,胡涓,山合四平先匣,595
訇,hwen;xweang,胡涓;呼宏,山合四平先匣;梗合二平耕曉,595;901
祆,xen,呼煙,山開四平先曉,596
訮,xen,呼煙,山開四平先曉,596
𤜼,dzren,崇玄,山開四平先崇,597
仙,sjen,相然,山開三平仙心,598
僊,sjen,相然,山開三平仙心,598
㒨,sjen,相然,山開三平仙心,598
㲔,sjen,相然,山開三平仙心,598
䉳,sjen;sjenX,相然;息淺,山開三平仙心;山開三上仙心,598;1619
苮,sjen,相然,山開三平仙心,598
秈,sjen,相然,山開三平仙心,598
鮮,sjen;sjenX;sjenH,相然;息淺;私箭,山開三平仙心;山開三上仙心;山開三去仙心,598;1619;2713
硟,sjen;tsyhenH,相然;昌戰,山開三平仙心;山開三去仙昌,598;2726
鱻,sjen,相然,山開三平仙心,598
廯,sjen;sjenX,相然;息淺,山開三平仙心;山開三上仙心,598;1619
錢,dzjen;tsjenX,昨仙;即淺,山開三平仙從;山開三上仙精,599;1630
